date,trx_no,account,particular,dr_amount,cr_amount
2025-01-01,0001,CB01,OPENING BALANCE,45000.00,0.00
2025-01-01,0001,CB02,OPENING BALANCE,20000.00,0.00
2025-01-01,0001,TD01,OPENING BALANCE,15000.00,0.00
2025-01-01,0001,AR01,OPENING BALANCE,8500.00,0.00
2025-01-01,0001,FA01,OPENING BALANCE,12000.00,0.00
2025-01-01,0001,FA02,OPENING BALANCE,8500.00,0.00
2025-01-01,0001,DA01,OPENING BALANCE,0.00,2000.00
2025-01-01,0001,DA02,OPENING BALANCE,0.00,1500.00
2025-01-01,0001,AP01,OPENING BALANCE,0.00,3600.00
2025-01-01,0001,CP01,OPENING BALANCE,0.00,2400.00
2025-01-01,0001,SC01,OPENING BALANCE,0.00,50000.00
2025-01-01,0001,PL01,OPENING BALANCE,0.00,49500.00
2025-01-02,0002,EX03,OFFICE RENT JAN 2025,3800.00,0.00
2025-01-02,0002,AP01,OFFICE RENT JAN 2025,0.00,3800.00
2025-01-05,0003,AR01,RETAINER JAN-CLIENT A,8000.00,0.00
2025-01-05,0003,SA03,RETAINER JAN-CLIENT A,0.00,8000.00
2025-01-05,0004,AR01,RETAINER JAN-CLIENT B,5500.00,0.00
2025-01-05,0004,SA03,RETAINER JAN-CLIENT B,0.00,5500.00
2025-01-10,0005,CB01,COLLECTION-OPENING AR,8500.00,0.00
2025-01-10,0005,AR01,COLLECTION-OPENING AR,0.00,8500.00
2025-01-10,0006,AP01,PMT-OPENING PAYABLE,3600.00,0.00
2025-01-10,0006,CB01,PMT-OPENING PAYABLE,0.00,3600.00
2025-01-10,0007,AP01,RENT PMT JAN 2025,3800.00,0.00
2025-01-10,0007,CB01,RENT PMT JAN 2025,0.00,3800.00
2025-01-15,0008,EX04,UTILITIES JAN 2025,380.00,0.00
2025-01-15,0008,AP01,UTILITIES JAN 2025,0.00,380.00
2025-01-20,0009,EX06,TELECOM JAN 2025,185.00,0.00
2025-01-20,0009,AP01,TELECOM JAN 2025,0.00,185.00
2025-01-20,0010,CO01,SUBCON-NEXUS TECH,4500.00,0.00
2025-01-20,0010,CB01,SUBCON-NEXUS TECH,0.00,4500.00
2025-01-22,0011,EX05,OFFICE SUPPLIES JAN,250.00,0.00
2025-01-22,0011,CB01,OFFICE SUPPLIES JAN,0.00,250.00
2025-01-25,0012,CB01,RCPT-RETAINER CLIENT A,8000.00,0.00
2025-01-25,0012,AR01,RCPT-RETAINER CLIENT A,0.00,8000.00
2025-01-28,0013,CB01,RCPT-RETAINER CLIENT B,5500.00,0.00
2025-01-28,0013,AR01,RCPT-RETAINER CLIENT B,0.00,5500.00
2025-01-31,0014,AR01,PROJECT BILLING-CLIENT C,15000.00,0.00
2025-01-31,0014,SA02,PROJECT BILLING-CLIENT C,0.00,15000.00
2025-01-31,0015,EX01,SALARIES JAN 2025,18500.00,0.00
2025-01-31,0015,CB01,SALARIES JAN 2025,0.00,14800.00
2025-01-31,0015,CP01,SALARIES JAN 2025,0.00,3700.00
2025-01-31,0016,EX02,CPF EMPLOYER JAN 2025,3145.00,0.00
2025-01-31,0016,CP01,CPF EMPLOYER JAN 2025,0.00,3145.00
2025-01-31,0017,EX09,DEPRECIATION JAN 2025,200.00,0.00
2025-01-31,0017,DA01,DEPRECIATION JAN 2025,0.00,200.00
2025-01-31,0017,EX10,DEPRECIATION JAN 2025,150.00,0.00
2025-01-31,0017,DA02,DEPRECIATION JAN 2025,0.00,150.00
2025-01-31,0018,CB02,INTEREST JAN 2025,125.00,0.00
2025-01-31,0018,OI01,INTEREST JAN 2025,0.00,125.00
2025-02-02,0019,EX03,OFFICE RENT FEB 2025,3800.00,0.00
2025-02-02,0019,AP01,OFFICE RENT FEB 2025,0.00,3800.00
2025-02-05,0020,AR01,RETAINER FEB-CLIENT A,8000.00,0.00
2025-02-05,0020,SA03,RETAINER FEB-CLIENT A,0.00,8000.00
2025-02-05,0021,AR01,RETAINER FEB-CLIENT B,5500.00,0.00
2025-02-05,0021,SA03,RETAINER FEB-CLIENT B,0.00,5500.00
2025-02-05,0022,AP01,PMT AP-UTILITIES JAN,380.00,0.00
2025-02-05,0022,CB01,PMT AP-UTILITIES JAN,0.00,380.00
2025-02-05,0023,AP01,PMT AP-TELECOM JAN,185.00,0.00
2025-02-05,0023,CB01,PMT AP-TELECOM JAN,0.00,185.00
2025-02-05,0024,AP01,RENT PMT FEB 2025,3800.00,0.00
2025-02-05,0024,CB01,RENT PMT FEB 2025,0.00,3800.00
2025-02-10,0025,CB01,RCPT-PROJECT CLIENT C,15000.00,0.00
2025-02-10,0025,AR01,RCPT-PROJECT CLIENT C,0.00,15000.00
2025-02-14,0026,CP01,CPF PMT JAN 2025,6845.00,0.00
2025-02-14,0026,CB01,CPF PMT JAN 2025,0.00,6845.00
2025-02-15,0027,EX04,UTILITIES FEB 2025,380.00,0.00
2025-02-15,0027,AP01,UTILITIES FEB 2025,0.00,380.00
2025-02-15,0028,AR01,CONSULTING-CLIENT D,6500.00,0.00
2025-02-15,0028,SA01,CONSULTING-CLIENT D,0.00,6500.00
2025-02-20,0029,EX06,TELECOM FEB 2025,185.00,0.00
2025-02-20,0029,AP01,TELECOM FEB 2025,0.00,185.00
2025-02-25,0030,CB01,RCPT-RETAINER CLIENT A,8000.00,0.00
2025-02-25,0030,AR01,RCPT-RETAINER CLIENT A,0.00,8000.00
2025-02-26,0031,CB01,RCPT-RETAINER CLIENT B,5500.00,0.00
2025-02-26,0031,AR01,RCPT-RETAINER CLIENT B,0.00,5500.00
2025-02-28,0032,EX01,SALARIES FEB 2025,18500.00,0.00
2025-02-28,0032,CB01,SALARIES FEB 2025,0.00,14800.00
2025-02-28,0032,CP01,SALARIES FEB 2025,0.00,3700.00
2025-02-28,0033,EX02,CPF EMPLOYER FEB 2025,3145.00,0.00
2025-02-28,0033,CP01,CPF EMPLOYER FEB 2025,0.00,3145.00
2025-02-28,0034,EX07,PROFESSIONAL FEES FEB,1200.00,0.00
2025-02-28,0034,AP01,PROFESSIONAL FEES FEB,0.00,1200.00
2025-02-28,0035,EX09,DEPRECIATION FEB 2025,200.00,0.00
2025-02-28,0035,DA01,DEPRECIATION FEB 2025,0.00,200.00
2025-02-28,0035,EX10,DEPRECIATION FEB 2025,150.00,0.00
2025-02-28,0035,DA02,DEPRECIATION FEB 2025,0.00,150.00
2025-02-28,0036,CB02,INTEREST FEB 2025,125.00,0.00
2025-02-28,0036,OI01,INTEREST FEB 2025,0.00,125.00
2025-03-02,0037,EX03,OFFICE RENT MAR 2025,3800.00,0.00
2025-03-02,0037,AP01,OFFICE RENT MAR 2025,0.00,3800.00
2025-03-05,0038,AR01,RETAINER MAR-CLIENT A,8000.00,0.00
2025-03-05,0038,SA03,RETAINER MAR-CLIENT A,0.00,8000.00
2025-03-05,0039,AR01,RETAINER MAR-CLIENT B,5500.00,0.00
2025-03-05,0039,SA03,RETAINER MAR-CLIENT B,0.00,5500.00
2025-03-05,0040,AP01,PMT AP FEB UTILITIES,380.00,0.00
2025-03-05,0040,CB01,PMT AP FEB UTILITIES,0.00,380.00
2025-03-05,0041,AP01,PMT AP FEB TELECOM,185.00,0.00
2025-03-05,0041,CB01,PMT AP FEB TELECOM,0.00,185.00
2025-03-05,0042,AP01,PMT PROFESSIONAL FEES,1200.00,0.00
2025-03-05,0042,CB01,PMT PROFESSIONAL FEES,0.00,1200.00
2025-03-05,0043,AP01,RENT PMT MAR 2025,3800.00,0.00
2025-03-05,0043,CB01,RENT PMT MAR 2025,0.00,3800.00
2025-03-10,0044,CB01,RCPT-CONSULTING CLIENT D,6500.00,0.00
2025-03-10,0044,AR01,RCPT-CONSULTING CLIENT D,0.00,6500.00
2025-03-14,0045,CP01,CPF PMT FEB 2025,6845.00,0.00
2025-03-14,0045,CB01,CPF PMT FEB 2025,0.00,6845.00
2025-03-15,0046,EX04,UTILITIES MAR 2025,380.00,0.00
2025-03-15,0046,AP01,UTILITIES MAR 2025,0.00,380.00
2025-03-15,0047,EX08,INSURANCE PREMIUM Q1,1800.00,0.00
2025-03-15,0047,CB01,INSURANCE PREMIUM Q1,0.00,1800.00
2025-03-20,0048,AR01,PROJECT BILLING-CLIENT E,22000.00,0.00
2025-03-20,0048,SA02,PROJECT BILLING-CLIENT E,0.00,22000.00
2025-03-20,0049,CO01,SUBCON-NEXUS TECH MAR,6000.00,0.00
2025-03-20,0049,CB01,SUBCON-NEXUS TECH MAR,0.00,6000.00
2025-03-20,0050,CO02,PROJECT MATERIALS-CE,3500.00,0.00
2025-03-20,0050,CB01,PROJECT MATERIALS-CE,0.00,3500.00
2025-03-20,0051,EX06,TELECOM MAR 2025,185.00,0.00
2025-03-20,0051,AP01,TELECOM MAR 2025,0.00,185.00
2025-03-25,0052,CB01,RCPT-RETAINER CLIENT A,8000.00,0.00
2025-03-25,0052,AR01,RCPT-RETAINER CLIENT A,0.00,8000.00
